,date,hour,user_id,province,hometown
3,2021-09-16,11:00,1,Phrae,Phrae
0,2021-09-16,18:00,1,Sukhothai,Phrae
2,2021-09-16,23:00,1,Phrae,Phrae
1,2021-09-17,06:00,1,Phayao,Phrae
8,2021-11-19,13:00,1,Phrae,Phrae
7,2021-11-19,17:00,1,Sukhothai,Phrae
6,2021-11-20,02:00,1,Lampang,Phrae
4,2021-11-20,04:00,1,Phayao,Phrae
5,2021-11-20,05:00,1,Chiang Rai,Phrae
9,2021-12-20,12:00,1,Phrae,Phrae
10,2021-12-20,16:00,1,Lampang,Phrae
11,2021-12-20,22:00,1,Phrae,Phrae
13,2021-12-25,08:00,1,Bangkok,Phrae
12,2021-12-25,16:00,1,Nonthaburi,Phrae
14,2021-12-25,22:00,1,Phrae,Phrae
17,2021-12-28,15:00,1,Phrae,Phrae
15,2021-12-28,21:00,1,Lampang,Phrae
16,2021-12-29,08:00,1,Phrae,Phrae
18,2021-01-02,11:00,2,Pathum Thani,Pathum Thani
19,2021-01-02,15:00,2,Phra Nakhon Si Ayutthaya,Pathum Thani
20,2021-01-02,17:00,2,Pathum Thani,Pathum Thani
26,2021-04-05,10:00,2,Pathum Thani,Pathum Thani
21,2021-04-05,17:00,2,Phra Nakhon Si Ayutthaya,Pathum Thani
24,2021-04-05,23:00,2,Nonthaburi,Pathum Thani
25,2021-04-06,06:00,2,Phra Nakhon Si Ayutthaya,Pathum Thani
23,2021-04-06,14:00,2,Ang Thong,Pathum Thani
22,2021-04-06,20:00,2,Pathum Thani,Pathum Thani
27,2021-09-15,09:00,2,Pathum Thani,Pathum Thani
28,2021-09-15,18:00,2,Nonthaburi,Pathum Thani
29,2021-09-16,06:00,2,Pathum Thani,Pathum Thani
33,2021-10-19,13:00,2,Pathum Thani,Pathum Thani
30,2021-10-19,16:00,2,Nonthaburi,Pathum Thani
32,2021-10-19,17:00,2,Phra Nakhon Si Ayutthaya,Pathum Thani
31,2021-10-20,00:00,2,Pathum Thani,Pathum Thani
34,2021-11-19,09:00,2,Pathum Thani,Pathum Thani
36,2021-11-19,12:00,2,Nonthaburi,Pathum Thani
37,2021-11-19,18:00,2,Bangkok,Pathum Thani
35,2021-11-19,21:00,2,Pathum Thani,Pathum Thani
38,2021-12-30,08:00,2,Pathum Thani,Pathum Thani
45,2021-12-30,08:00,2,Pathum Thani,Pathum Thani
43,2021-12-30,11:00,2,Pathum Thani,Pathum Thani
40,2021-12-30,12:00,2,Bangkok,Pathum Thani
42,2021-12-30,13:00,2,Bangkok,Pathum Thani
44,2021-12-30,13:00,2,Phra Nakhon Si Ayutthaya,Pathum Thani
46,2021-12-30,15:00,2,Pathum Thani,Pathum Thani
39,2021-12-30,17:00,2,Pathum Thani,Pathum Thani
41,2021-12-30,18:00,2,Pathum Thani,Pathum Thani
59,2021-12-31,10:00,2,Pathum Thani,Pathum Thani
54,2021-12-31,17:00,2,Pathum Thani,Pathum Thani
60,2021-12-31,19:00,2,Nonthaburi,Pathum Thani
48,2021-12-31,20:00,2,Pathum Thani,Pathum Thani
57,2022-01-01,03:00,2,Saraburi,Pathum Thani
49,2022-01-01,04:00,2,Saraburi,Pathum Thani
56,2022-01-01,08:00,2,Lop Buri,Pathum Thani
58,2022-01-01,08:00,2,Pathum Thani,Pathum Thani
55,2022-01-01,11:00,2,Pathum Thani,Pathum Thani
47,2022-01-01,12:00,2,Pathum Thani,Pathum Thani
53,2022-01-02,11:00,2,Chiang Mai,Pathum Thani
61,2022-01-02,11:00,2,Pathum Thani,Pathum Thani
52,2022-01-02,17:00,2,Lampang,Pathum Thani
71,2022-01-02,18:00,2,Bangkok,Pathum Thani
50,2022-01-02,19:00,2,Sukhothai,Pathum Thani
69,2022-01-03,02:00,2,Samut Prakan,Pathum Thani
68,2022-01-03,04:00,2,Bangkok,Pathum Thani
51,2022-01-03,08:00,2,Pathum Thani,Pathum Thani
63,2022-01-03,12:00,2,Nonthaburi,Pathum Thani
66,2022-01-03,17:00,2,Bangkok,Pathum Thani
72,2022-01-03,22:00,2,Pathum Thani,Pathum Thani
70,2022-01-03,23:00,2,Bangkok,Pathum Thani
67,2022-01-04,08:00,2,Samut Sakhon,Pathum Thani
64,2022-01-04,15:00,2,Bangkok,Pathum Thani
